Métrica,Valor,Porcentagem sobre o total
Correctly Classified Instances                       ,6545,87.9113 %
Incorrectly Classified Instances                      ,900,12.0887 %
Kappa statistic                         ,0.746,
Mean absolute error                      ,0.1413,
Root mean squared error                  ,0.3129,
Relative absolute error                 ,30.3368 %,
Root relative squared error            ,64.8376 %,
Total Number of Instances             ,7445,
Time taken (in seconds),0.79,
