Métrica,Valor,Porcentagem sobre o total
Correctly Classified Instances                       ,5916,79.4627 %
Incorrectly Classified Instances                       ,1529,20.5373 %
Kappa statistic                          ,0.5794,
Mean absolute error                      ,0.2986,
Root mean squared error                  ,0.3681,
Relative absolute error                ,64.1034 %,
Root relative squared error            ,76.2755 %,
Total Number of Instances             ,7445,
Time taken (in seconds),0.79,
