Métrica,Valor,Porcentagem sobre o total
Correctly Classified Instances                      ,6426,86.313  %
Incorrectly Classified Instances                       ,1019,13.687  %
Kappa statistic                          ,0.7083,
Mean absolute error                      ,0.2052,
Root mean squared error                 ,0.3384,
Relative absolute error                 ,44.0557 %,
Root relative squared error            ,70.1187 %,
Total Number of Instances             ,7445,
Time taken (in seconds),2.9,
