Métrica,Valor,Porcentagem sobre o total
Correctly Classified Instances                      ,6440,86.501  %
Incorrectly Classified Instances                     ,1005,13.499  %
Kappa statistic                          ,0.7147,
Mean absolute error                      ,0.1742,
Root mean squared error                  ,0.3262,
Relative absolute error                ,37.3988 %,
Root relative squared error             ,67.584  %,
Total Number of Instances             ,7445,
Time taken (in seconds),0.1,
