Métrica,Valor,Porcentagem sobre o total
Correctly Classified Instances                      ,5645,75.8227 %
Incorrectly Classified Instances                       ,1800,24.1773 %
Kappa statistic                          ,0.5255,
Mean absolute error                      ,0.3207,
Root mean squared error                  ,0.4012,
Relative absolute error                 ,68.834  %,
Root relative squared error             ,83.1184 %,
Total Number of Instances             ,7445,
Time taken (in seconds),0.02,
