Métrica,Valor,Porcentagem sobre o total
Correctly Classified Instances                       ,6516,87.5218 %
Incorrectly Classified Instances                      ,929,12.4782 %
Kappa statistic                          ,0.7376,
Mean absolute error                     ,0.1424,
Root mean squared error                  ,0.3313,
Relative absolute error                ,30.5634 %,
Root relative squared error            ,68.6396 %,
Total Number of Instances             ,7445 ,
Time taken (in seconds),3.11,
